_startofquery
"Current Time: 10/07/2022 20:49:40"
"Servername: LAPTOP-L0P7GP6U"
"Sample StartDate: 05/06/2022 10:00:51"
"Sample EndDate: 05/06/2022 10:31:51"
"Number of Data Samples:  9672"
Tagname:  	Date/Time: 	Value: 	Quality: 	Comments:
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:21 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:22 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:23 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:24 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:25 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:26 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:27 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:28 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:29 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:30 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:31 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:32 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:33 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:34 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:35 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:36 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:37 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:38 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:39 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:40 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:41 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:42 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:43 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:44 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:45 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:46 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:47 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:48 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:49 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:50 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:51 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:52 	300 	Good 	
SCADA1.PID0PIT1_SP.F_CV 	06/05/2022 10:04:53 	300 	Good 	
